weight,Time,Chick,Diet
373,21,35,3
341,21,34,3
331,21,21,2
322,21,48,4
321,21,40,3
309,21,29,2
305,21,7,1
305,21,32,3
290,21,38,3
281,21,42,4
272,21,39,3
266,21,14,1
265,21,25,2
264,21,50,4
256,21,31,3
251,21,26,2
238,21,46,4
237,21,49,4
233,21,28,2
227,18,36,3
223,21,5,1
215,21,2,1
210,20,47,4
205,21,12,1
205,21,1,1
204,21,41,4
202,21,3,1
200,21,43,4
197,20,45,4
192,21,27,2
184,18,11,1
178,21,37,3
175,21,23,2
167,21,22,2
160,20,4,1
160,18,6,1
157,21,19,1
157,20,30,2
156,20,33,3
142,21,17,1
134,18,8,1
124,21,10,1
117,21,20,1
100,18,9,1
96,21,13,1
76,20,24,2
